Mvd	0.5835754459
Dcaf12l1	0.5815620026
2810417H13Rik	0.5814206474
Pola1	0.5796589771
Slc6a3	0.5793877103
Apln	0.5793872642
Frmd4a	0.579160293
Tnfaip2	0.5783829581
Adamts16	0.5783547529
Nup210	0.5774933919
Dpy19l1	0.5741394525
Gm6166	0.5740155884
Gins1	0.5739442546
Sox8	0.5739167307
Slc8a1	0.5719823777
Idi1	0.5713805448
Il22ra1	0.5712097837
Fabp5	0.5705686378
Hhip	0.565927962
Mei1	0.5650105435
Tmem108	0.5650007388
Lrr1	0.5636330504
Cyp24a1	0.5632483258
Cysltr1	0.5615859632
Ednrb	0.5592711649
Dhfr	0.5590542468
Lig1	0.5582136736
Ms4a10	0.5575329933
Rmi2	0.5574686277
Pole	0.5537091765
Tll2	0.5535914891
Pcdh8	0.5531621469
Scd2	0.5522737503
Slc44a5	0.5513994508
B3gat1	0.5513378456
Ano5	0.5501098715
Elovl6	0.5472363434
Mcm4	0.5469812126
Hsd17b7	0.5464486024
Scd3	0.5452859339
Gm5648	0.5445372033
Gm45187	0.5428200531
Gm26888	0.541688872
Vldlr	0.5412797835
Piezo2	0.5406015028
Cdh4	0.5397759903
Gins2	0.5397085477
Bves	0.5390782982
Unc13c	0.5378584625
Cldn8	0.5377150643
Timeless	0.5368556545
Orc1	0.5355155696
Mlkl	0.5348708477
Slfn9	0.5340256749
Dna2	0.5340095175
Aadacl2	0.5332072993
Ddah1	0.5323563829
Chek1	0.5312774006
Dtl	0.530222021
Dscc1	0.5196796321
Sdr9c7	0.5187057323
Ccnd1	0.5177917766
Prr32	0.5149594098
Cap2	0.5143128948
Aacs	0.5142046387
Cxcl5	0.5129097503
Uhrf1	0.5084514736
St8sia4	0.5082463628
Syt7	0.5056939751
5830418P13Rik	0.5038710732
Exo1	0.5015754365
Pole2	0.4969766364
Haao	0.4922852804
Jakmip2	0.4919426255
Gm4793	0.4915081159
Kcns1	0.4912929746
Chst5	0.4861327849
Ivl	0.4833809599
Sstr4	0.4789185713
Mcm6	0.4775931898
Pdzrn4	0.4730385518
Arsi	0.4700670901
Nat8l	0.4679972914
Hells	0.4666925981
Chaf1b	0.4654220089
Vsnl1	0.4651312526
Cdc6	0.4628201298
E2f1	0.4545856867
Cldn17	0.4522134221
Cyp4f39	0.4516992606
Epgn	0.4502748422
Fignl1	0.4453426424
Cemip	0.4386625348
Tacr3	0.4333454292
Mcm3	0.4272521492
Mcm5	0.4192751044
Adra2c	0.4170492807
Mcm2	0.4098667535
Gm2115	0.3785346554
Ung	0.3750409576
